Дата,Золото,Недвижимость,Глобальный фонд облигаций,Новые технологии,Глобальный нефтяной сектор
2004-01-01,415.9,113.2,,,
2004-01-02,415.9,114.1,,,
2004-01-03,415.9,114.1,,,
2004-01-04,415.9,114.1,,,
2004-01-05,423.7,114.5,,,
2004-01-06,422.4,114.8,,,
2004-01-07,420.6,114.7,,,
2004-01-08,423.9,115.2,,,
2004-01-09,426.4,116.0,,,
2004-01-10,426.4,116.0,,,
2004-01-11,426.4,116.0,,,
2004-01-12,424.5,115.5,,,
2004-01-13,424.2,114.8,,,
2004-01-14,420.0,115.7,,,
2004-01-15,408.9,115.4,,,
2004-01-16,406.8,115.4,,,
2004-01-17,406.8,115.4,,,
2004-01-18,406.8,115.4,,,
2004-01-19,407.3,115.3,,,
2004-01-20,412.9,115.1,,,
2004-01-21,410.6,115.3,,,
2004-01-22,409.4,115.3,,,
2004-01-23,408.1,114.0,,,
2004-01-24,408.1,114.0,,,
2004-01-25,408.1,114.0,,,
2004-01-26,404.1,113.1,,,
2004-01-27,410.4,113.4,,,
2004-01-28,410.4,114.0,,,
2004-01-29,399.4,113.3,,,
2004-01-30,402.5,113.2,,,
2004-01-31,402.5,113.2,,,
2004-02-01,402.5,113.2,,,
2004-02-02,398.4,114.0,,,
2004-02-03,399.7,114.5,,,
2004-02-04,400.8,114.5,,,385.9
2004-02-05,397.0,114.4,,,384.1
2004-02-06,403.4,115.5,,,386.3
2004-02-07,403.4,115.5,,,386.3
2004-02-08,403.4,115.5,,,386.3
2004-02-09,406.8,115.7,,,391.2
2004-02-10,406.4,116.5,,,391.2
2004-02-11,411.2,116.9,,,390.8
2004-02-12,411.9,117.5,,,393.9
2004-02-13,410.2,118.9,,,392.0
2004-02-14,410.2,118.9,,,392.0
2004-02-15,410.2,118.9,,,392.0
2004-02-16,411.7,119.5,,,392.0
2004-02-17,415.6,120.0,,,396.4
2004-02-18,411.0,120.4,,,395.6
2004-02-19,410.0,120.2,,,392.7
2004-02-20,397.6,120.1,,,393.0
2004-02-21,397.6,120.1,,,393.0
2004-02-22,397.6,120.1,,,393.0
2004-02-23,398.7,120.7,,,394.5
2004-02-24,403.9,121.2,,,393.3
2004-02-25,396.1,121.0,,,393.9
2004-02-26,395.1,122.8,,,396.8
2004-02-27,396.2,123.1,,,398.3
2004-02-28,396.2,123.1,,,398.3
2004-02-29,396.2,123.1,,,398.3
2004-03-01,399.6,125.0,,,406.8
2004-03-02,393.1,125.4,,,405.0
2004-03-03,393.4,125.3,,,402.3
2004-03-04,393.1,125.1,,,402.4
2004-03-05,401.3,125.5,,,408.6
2004-03-06,401.3,125.5,,,408.6
2004-03-07,401.3,125.5,,,408.6
2004-03-08,401.5,126.2,,,409.9
2004-03-09,402.8,126.2,,,408.0
2004-03-10,400.2,126.3,,,402.9
2004-03-11,402.9,124.8,,,395.0
2004-03-12,395.3,125.8,,,397.0
2004-03-13,395.3,125.8,,,397.0
2004-03-14,395.3,125.8,,,397.0
2004-03-15,399.5,123.6,,,397.4
2004-03-16,402.3,124.2,,,400.0
2004-03-17,407.4,123.8,,,434.9
2004-03-18,411.4,124.2,,,434.5
2004-03-19,412.4,124.2,,,434.5
2004-03-20,412.4,124.2,,,434.5
2004-03-21,412.4,124.2,,,434.5
2004-03-22,417.3,123.4,,,431.7
2004-03-23,419.8,122.7,,,430.2
2004-03-24,415.6,122.8,,,428.5
2004-03-25,416.3,124.0,,,427.1
2004-03-26,422.4,124.2,,,427.6
2004-03-27,422.4,124.2,,,427.6
2004-03-28,422.4,124.2,,,427.6
